Previousname,Newname
98462_1048,GOLD_North America_USA_California_Tuolumne Co._98462
98478_1020,GOLD_North America_USA_California_98478
85067_6749,SILVER_Europe_Norway_Buskerud_Kongsberg_85067
108943A-C_3923,FLUORAPATITE_North America_USA_Maine_Androscoggin Co._Auburn_Pulsifer Quarry_Mt. Apatite_108943
115090_7847,CROCOITE_Oceana_Australia_Tasmania_Dundas_Adelaide Mine_115090
93796_4094,FLUORAPATITE_North America_USA_Maine_Androscoggin Co._Auburn_Pulsifer Quarry_93796
98459_1134,GOLD_North America_USA_California_El Dorado Co._Mother Lode Belt_Kelsey District_Garden Valley_Irish Creek_98459
100226,"GOLD_Europe_Romania_Transylvania_Alba_Baia de Aries_Rosia Montana_western Transylvanian gold district, Muntii Apuseni (Apuseni Mtns.)_100226"
100472_9945,"GOLD_Europe_Romania_Transylvania_Alba_Baia de Aries_Rosia Montana_western Transylvanian gold district, Muntii Apuseni (Apuseni Mtns.)_100472"
95269_9260,CHRYSOBERYL_South America_Brazil_Espirito Santo_Santa Tereza_Tancredo_Itaguacu_the town of Colatina was once thought to be the source; near Tancredo_95269
98461_8357,GOLD_North America_USA_California_Placer Co._Forest Hill District_Deidesheimer Claim_98461
138276_1_0025,LIDDICOATITE_Africa_Madagascar_Antananarivo_Betafo_Anjanabonoina_138276
81533_1427,PLATINUM_Asia_Russia_Ural Mtns._81533
98456_1138,GOLD_North America_USA_California_Alaska Mine_98456
MGMH_98458,GOLD_North America_USA_Colorado_Eagle Co._Gilman District_Battle Mtn._Ground Hog Mine_98458
100194_8648,SILVER_North America_USA_Montana_Silver Bow_Butte_Lexington Mine_100194
88251_0266,ELBAITE_North America_USA_Maine_Oxford Co._Paris_Mt. Mica_88251
131275_1784,THE ROSE OF MAINE_North America_USA_Maine_Oxford Co._Buckfield_Bennett Quarry_131275
88470_4230,OPAL (VAR. FIRE OPAL)_North America_Mexico_Queretaro_Municipio de Colon_Hacienda Esperenza_Iris Mine_88470
99888_1032,GOLD_North America_USA_California_El Dorado Co._Mother Lode Belt_Northwest Segement Mother Lode_Greenwood District_Spanish Dry Diggings_Grit Mine_99888
99607_6758,SILVER_South America_Chile_Atacama_Copiapo_Chanarcillo_99607
123945_6000,PROUSTITE_South America_Chile_Atacama_Copiapo_Chanarcillo_123945
98454_1094,GOLD_North America_USA_California_Tuolumne Co._98454
88507_1089,GOLD_North America_USA_California_Sierra Co._88507
98469_1113,GOLD_Europe_France_Ardeche_Avols_98469
100368_1163,GOLD_North America_Canada_British Columbia_100368
95515_0081,GOLD_North America_USA_California_Tuolumne Co._East Belt_Columbia District_Blewetts Point_Specimen Gulch_95515
103235_1140,GOLD_North America_USA_California_103235
100165_2404,GOLD_South America_Colombia_Antioquia_100165
98452_1102,GOLD_North America_USA_California_98452
98487_1065,GOLD_North America_Mexico_Chihuahua_98487
131679 2,ELBAITE_North America_USA_Maine_Oxford Co._Newry_Dunton Mine_131679
138483_0112,GOLD_North America_USA_California_Tuolumne Co._Mother Lode Belt_Jamestown District_Jamestown_Shore Mine_138483
135697_5522,ELBAITE_South America_Brazil_Minas Gerais_Itatiaia_Jonas mine_135697
1028_0029,MORGANITE_North America_USA_Maine_Androscoggin Co._Auburn_Mt. Apatite_GEM1028
1030_0036,AQUAMARINE_North America_USA_Maine_Oxford Co._Stoneham_GEM1030
1090_0598,SINHALITE_Legacy_Unknown_GEM1090
1091_0601,SINHALITE_Legacy_Unknown_GEM1091
1136_0024,ELBAITE_North America_USA_Maine_Oxford Co._Hebron_Mt. Rubellite_GEM1136
1157_0045,HELIODOR_North America_USA_Connecticut_Middlesex Co._East Hampton_Slocum Quarry_GEM1157
1175_0352,CORDIERITE_Legacy_Unknown_GEM1175
1190_0245,SCAPOLITE_South America_Brazil_Minas Gerais_RIO PARDO_Sierra Da Chibata_GEM1190
1255_0021,FLUORAPOPHYLLITE_Asia_India_Maharashtra_Nasik_GEM1255
1387_0165,ELBAITE_North America_USA_Maine_Oxford Co._Newry_Dunton Mine_GEM1387
1388_0167,ELBAITE_North America_USA_Maine_Oxford Co._Newry_Dunton Mine_GEM1388
1394_0095,POLLUCITE_North America_USA_Connecticut_Middlesex Co._Portland_Gotta-Walden Prospect_GEM1394
1625_0051,AQUAMARINE_North America_USA_Massachusetts_Worcester Co._Royalston_GEM1625
1628_0118,AMETHYST_North America_USA_Maine_Oxford Co._Stow_Deer Hill_GEM1628
1687_7563,BERYLLONITE_North America_USA_Maine_Oxford Co._Stoneham_GEM1687
GEM1690,CHRYSOBERYL_Asia_Sri Lanka_GEM1690
1693_0577,SCHEELITE_North America_Mexico_Sonora_Santa Cruz_GEM1693
1734_7449,BERYL_North America_USA_Connecticut_Merryall_Roebling Quarry_GEM1734
1756_0075,FLUORAPATITE_North America_USA_Maine_Androscoggin Co._Auburn_Pulsifer Quarry_GEM1756
IMG_1794,WILLEMITE_North America_USA_New Jersey_Franklin_GEM1794
1800_0035,AUGELITE_North America_USA_California_Inyo Co._Laws_GEM1800
1803_0323,CERUSSITE_Africa_Namibia_Tsumeb_GEM1803
1819_0336,OLIGOCLASE_Legacy_Unknown_GEM1819
GEM_2132,DIAMOND_Legacy_Unknown_GEM2132
IMG_2622,"DIAMOND,BROWN_Legacy_Unknown_GEM2133"
GEM2144a,ELBAITE_North America_USA_Maine_Oxford Co._Paris_Mt. Mica_GEM2144
2165_0060,KORNERUPINE_Africa_Madagascar_GEM2165
2230_0071,FLUORAPATITE_North America_USA_Maine_Androscoggin Co._Auburn_Pulsifer Quarry_GEM2230
2262_0181,ROSE QUARTZ_North America_USA_Maine_Hebrow_Hibbs Quarry_GEM2262
GEM2297,ELBAITE_North America_USA_Maine_Oxford Co._Paris_Mt. Mica_GEM2297
2299_4353,EMERALD AND DIAMOND BROOCH_South America_Colombia_Muzo_GEM2299
2305_0302,AMETHYST_North America_USA_Massachusetts_Norfolk Co._Bellingham_Rose St._GEM2305
2311_0060,ELBAITE_North America_USA_Maine_Oxford Co._Paris_Mt. Mica_GEM2311
2320_7497,ELBAITE_North America_USA_Maine_Oxford Co._Paris_Mt. Mica_GEM2320
2321_7493,"TOPAZ, PINK PENDANT_South America_Brazil_GEM2321"
2324_7499,SAPPHIRE_Asia_Sri Lanka_GEM2324
2325_7503,"SPESSARTINE,ORANGE PENDANT_North America_USA_Virginia_Amelia Co._Amelia_GEM2325"
2340_0163,STIBIOTANTALITE_Africa_Mozambique_Rito Ligonho_GEM2340
2013.7,ELBAITE_North America_USA_Maine_Oxford Co._Paris_Mt. Mica_2013.7
2015.5.3,SPHALERITE_Europe_Spain_Cantabria_Santander_Aliva_Las Mánforas Mine_2015.5.3
2015.5.4,OPAL_Africa_Ethiopia_Wollo Province_Wegeltena_2015.5.4
